anthracis_accession,anthracis_prop,bacillus_depth,bases,color,coverage,fp,genus,group,lab_name,mean_depth,median_depth,n_markers,n_markers_detected,n_reads,name,near_neighbor,organism,prop_markers_detected,refcenter,refname,sample_name,species,species_group,spike_level,tax_id,uuid
SRR2171418,0.000180762,324,4802550800,#002DEA,960.51016,BA_panel_results/SRR2171418.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.058566978,0,1605,78,94,,,Bacillus cereus 03BB102,0.048598131,San Diego State University,GSM1820045,BFS,Bacillus cereus,Other Bacillus,,572264,1d4e8937006242aa
SRR2157174,0.000696747,46.5,1217980879,#002DEA,243.5961758,BA_panel_results/SRR2157174.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.032398754,0,1605,43,52,,,Bacillus cereus,0.026791277,San Diego State University,GSM1820045,BFC,Bacillus cereus,Other Bacillus,,1396,69c50e61aad44e34
SRR2157173,0.000883067,31.75,253774620,#002DEA,50.754924,BA_panel_results/SRR2157173.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.028037383,0,1605,31,45,,,Bacillus cereus,0.019314642,San Diego State University,GSM1820045,BFC,Bacillus cereus,Other Bacillus,,1396,e5605d07a0d040c8
SRR2157172,5.48E-05,34.125,4085202600,#002DEA,817.04052,BA_panel_results/SRR2157172.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.001869159,0,1605,3,3,,,Bacillus cereus,0.001869159,San Diego State University,GSM1820045,BFC,Bacillus cereus,Other Bacillus,,1396,a36e07327b524843
SRR2157012,0.000575126,3.25,156764596,#002DEA,31.3529192,BA_panel_results/SRR2157012.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.001869159,0,1605,3,3,,,Bacillus cereus E33L,0.001869159,San Diego State University,GSM1820045,BCO,Bacillus cereus,Other Bacillus,,288681,ac1ff427ec194dc9
SRR2157011,0.000757128,9.875,83605811,#002DEA,16.7211622,BA_panel_results/SRR2157011.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.007476636,0,1605,11,12,,,Bacillus cereus E33L,0.006853583,San Diego State University,GSM1820045,BCO,Bacillus cereus,Other Bacillus,,288681,52060e71ec4a45bd
SRR2157010,0.000299599,630.125,2730461000,#002DEA,546.0922,BA_panel_results/SRR2157010.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.188785047,0,1605,254,303,,,Bacillus cereus E33L,0.158255452,San Diego State University,GSM1820045,BCO,Bacillus cereus,Other Bacillus,,288681,3e920aaf5d9b4d29
SRR2147686,9.77E-05,38.25,1256837873,#002DEA,251.3675746,BA_panel_results/SRR2147686.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.003738318,0,1605,6,6,,,Bacillus thuringiensis serovar morrisoni,0.003738318,San Diego State University,GSM1820045,BGO,Bacillus thuringiensis,Other Bacillus,,1441,f2986e813dff41e9
SRR2147685,0.000182155,37.625,211945775,#002DEA,42.389155,BA_panel_results/SRR2147685.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.006853583,0,1605,7,11,,,Bacillus thuringiensis serovar morrisoni,0.004361371,San Diego State University,GSM1820045,BGO,Bacillus thuringiensis,Other Bacillus,,1441,3f77c7d515944720
SRR2147684,5.66E-05,925.125,4843888146,#002DEA,968.7776292,BA_panel_results/SRR2147684.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.052336449,0,1605,55,84,,,Bacillus thuringiensis serovar morrisoni,0.034267913,San Diego State University,GSM1820045,BGO,Bacillus thuringiensis,Other Bacillus,,1441,b037f3996fdf48a3
SRR2145884,0.000620897,36.125,198982761,#002DEA,39.7965522,BA_panel_results/SRR2145884.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.022429907,0,1605,6,36,,,Bacillus mycoides,0.003738318,San Diego State University,GSM1820045,BHG_1,Bacillus mycoides,Other Bacillus,,1405,b1b01fd1170a45f5
SRR2145883,0.000481405,713.125,3435285200,#002DEA,687.05704,BA_panel_results/SRR2145883.fastq.gz,Bacillus,Other Bacillus,Genome Science Group B6,0.343302181,0,1605,12,551,,,Bacillus mycoides,0.007476636,San Diego State University,GSM1820045,BHG_1,Bacillus mycoides,Other Bacillus,,1405,88abf864f9fe466a
ERR498173,9.08E-05,781.875,14740849000,#002DEA,2948.1698,BA_panel_results/ERR498173.fastq.gz,Bacillus,Other Bacillus,"Ecology, Systematics and Evolution",0.071028037,0,1605,74,114,,,Bacillus thuringiensis,0.046105919,U-PSUD,ena-EXPERIMENT-U-PSUD-07-05-2014-13:09:51:793-39,Adaptation G20 Pop10,Bacillus thuringiensis,Other Bacillus,,1428,4401cd70b75443f5
,,166.6,,#00BABA,,subway_samples/Pelham,,NYC Subway,,0.008099688,0,1605,12,13,PathoMAP - Pelham Pkwy (High Depth),,,,,,,,,,,560931d5c75b4f0c
